 0.4957932E-03 at R=8Mpc/h  0.1995316E-05 at Rsmooth=   130.    
 #   k/h   P(k)
   0.403429E-01   0.123958E+02
   0.411579E-01   0.121480E+02
   0.419893E-01   0.119109E+02
   0.428375E-01   0.116846E+02
   0.437029E-01   0.114691E+02
   0.445858E-01   0.112640E+02
   0.454865E-01   0.110686E+02
   0.464053E-01   0.108823E+02
   0.473428E-01   0.107045E+02
   0.482992E-01   0.105347E+02
   0.492749E-01   0.103728E+02
   0.502703E-01   0.102184E+02
   0.512858E-01   0.100714E+02
   0.523219E-01   0.993152E+01
   0.533789E-01   0.979822E+01
   0.544572E-01   0.966979E+01
   0.555573E-01   0.954435E+01
   0.566796E-01   0.942013E+01
   0.578246E-01   0.929545E+01
   0.589927E-01   0.916866E+01
   0.601845E-01   0.903805E+01
   0.614003E-01   0.890199E+01
   0.626407E-01   0.875896E+01
   0.639061E-01   0.860758E+01
   0.651971E-01   0.844672E+01
   0.665142E-01   0.827575E+01
   0.678578E-01   0.809425E+01
   0.692287E-01   0.790194E+01
   0.706272E-01   0.769869E+01
   0.720539E-01   0.748489E+01
   0.735095E-01   0.726226E+01
   0.749945E-01   0.703271E+01
   0.765095E-01   0.679808E+01
   0.780551E-01   0.656008E+01
   0.796319E-01   0.632060E+01
   0.812406E-01   0.608226E+01
   0.828817E-01   0.584756E+01
   0.845561E-01   0.561863E+01
   0.862642E-01   0.539732E+01
   0.880068E-01   0.518540E+01
   0.897847E-01   0.498506E+01
   0.915985E-01   0.479829E+01
   0.934489E-01   0.462670E+01
   0.953367E-01   0.447165E+01
   0.972626E-01   0.433374E+01
   0.992274E-01   0.421178E+01
   0.101232E+00   0.410440E+01
   0.103277E+00   0.401040E+01
   0.105363E+00   0.392871E+01
   0.107492E+00   0.385775E+01
   0.109663E+00   0.379378E+01
   0.111879E+00   0.373292E+01
   0.114139E+00   0.367153E+01
   0.116445E+00   0.360620E+01
   0.118797E+00   0.353409E+01
   0.121197E+00   0.345366E+01
   0.123645E+00   0.336379E+01
   0.126143E+00   0.326363E+01
   0.128691E+00   0.315260E+01
   0.131291E+00   0.303141E+01
   0.133943E+00   0.290391E+01
   0.136649E+00   0.277417E+01
   0.139409E+00   0.264571E+01
   0.142226E+00   0.252150E+01
   0.145099E+00   0.240406E+01
   0.148030E+00   0.229566E+01
   0.151020E+00   0.219817E+01
   0.154071E+00   0.211312E+01
   0.157184E+00   0.204179E+01
   0.160359E+00   0.198415E+01
   0.163598E+00   0.193644E+01
   0.166903E+00   0.189458E+01
   0.170275E+00   0.185488E+01
   0.173715E+00   0.181393E+01
   0.177224E+00   0.176910E+01
   0.180804E+00   0.171948E+01
   0.184457E+00   0.166462E+01
   0.188183E+00   0.160422E+01
   0.191985E+00   0.153816E+01
   0.195863E+00   0.146747E+01
   0.199820E+00   0.139607E+01
   0.203856E+00   0.132784E+01
   0.207974E+00   0.126596E+01
   0.212176E+00   0.121299E+01
   0.216462E+00   0.116991E+01
   0.220835E+00   0.113393E+01
   0.225296E+00   0.110191E+01
   0.229847E+00   0.107106E+01
   0.234490E+00   0.103890E+01
   0.239227E+00   0.100392E+01
   0.244060E+00   0.966857E+00
   0.248990E+00   0.928809E+00
   0.254020E+00   0.890753E+00
   0.259152E+00   0.853529E+00
   0.264387E+00   0.817770E+00
   0.269728E+00   0.783747E+00
   0.275177E+00   0.751630E+00
   0.280736E+00   0.721553E+00
   0.286407E+00   0.693617E+00
   0.292193E+00   0.667753E+00
   0.298096E+00   0.643428E+00
   0.304118E+00   0.620089E+00
   0.310261E+00   0.597254E+00
   0.316529E+00   0.574508E+00
   0.322923E+00   0.551646E+00
   0.329447E+00   0.528960E+00
   0.336102E+00   0.506796E+00
   0.342892E+00   0.485443E+00
   0.349819E+00   0.465143E+00
   0.356885E+00   0.446023E+00
   0.364095E+00   0.427958E+00
   0.371450E+00   0.410792E+00
   0.378954E+00   0.394389E+00
   0.386609E+00   0.378629E+00
   0.394419E+00   0.363420E+00
   0.402387E+00   0.348725E+00
   0.410516E+00   0.334519E+00
   0.418809E+00   0.320777E+00
   0.427269E+00   0.307479E+00
   0.435901E+00   0.294613E+00
   0.444706E+00   0.282197E+00
   0.453690E+00   0.270249E+00
   0.462855E+00   0.258782E+00
   0.472206E+00   0.247803E+00
   0.481745E+00   0.237311E+00
   0.491477E+00   0.227276E+00
   0.501405E+00   0.217666E+00
   0.511534E+00   0.208452E+00
   0.521868E+00   0.199608E+00
   0.532411E+00   0.191112E+00
   0.543166E+00   0.182951E+00
   0.554139E+00   0.175114E+00
   0.565333E+00   0.167592E+00
   0.576753E+00   0.160374E+00
   0.588404E+00   0.153448E+00
   0.600291E+00   0.146806E+00
   0.612418E+00   0.140436E+00
   0.624789E+00   0.134328E+00
   0.637411E+00   0.128473E+00
   0.650288E+00   0.122860E+00
   0.663424E+00   0.117481E+00
   0.676826E+00   0.112327E+00
   0.690499E+00   0.107388E+00
   0.704448E+00   0.102657E+00
   0.718679E+00   0.981242E-01
   0.733197E+00   0.937831E-01
   0.748009E+00   0.896255E-01
   0.763119E+00   0.856441E-01
   0.778536E+00   0.818318E-01
   0.794263E+00   0.781819E-01
   0.810308E+00   0.746879E-01
   0.826677E+00   0.713436E-01
   0.843378E+00   0.681431E-01
   0.860415E+00   0.650806E-01
   0.877797E+00   0.621505E-01
   0.895529E+00   0.593473E-01
   0.913620E+00   0.566658E-01
   0.932076E+00   0.541007E-01
   0.950906E+00   0.516472E-01
   0.970115E+00   0.493007E-01
   0.989713E+00   0.470568E-01
   0.100971E+01   0.449113E-01
   0.103010E+01   0.428602E-01
   0.105091E+01   0.408996E-01
   0.107214E+01   0.390257E-01
   0.109380E+01   0.372349E-01
   0.111590E+01   0.355235E-01
   0.113844E+01   0.338881E-01
   0.116144E+01   0.323255E-01
   0.118490E+01   0.308326E-01
   0.120884E+01   0.294063E-01
   0.123326E+01   0.280439E-01
   0.125817E+01   0.267426E-01
   0.128359E+01   0.254999E-01
   0.130952E+01   0.243131E-01
   0.133597E+01   0.231800E-01
   0.136296E+01   0.220981E-01
   0.139049E+01   0.210653E-01
   0.141858E+01   0.200793E-01
   0.144724E+01   0.191381E-01
   0.147648E+01   0.182398E-01
   0.150630E+01   0.173824E-01
   0.153673E+01   0.165642E-01
   0.156778E+01   0.157835E-01
   0.159945E+01   0.150386E-01
   0.163176E+01   0.143279E-01
   0.166472E+01   0.136499E-01
   0.169835E+01   0.130031E-01
   0.173266E+01   0.123862E-01
   0.176766E+01   0.117978E-01
   0.180337E+01   0.112367E-01
   0.183980E+01   0.107016E-01
   0.187697E+01   0.101913E-01
   0.191489E+01   0.970477E-02
   0.195357E+01   0.924090E-02
   0.199304E+01   0.879868E-02
   0.203330E+01   0.837712E-02
   0.207437E+01   0.797528E-02
   0.211628E+01   0.759228E-02
   0.215903E+01   0.722724E-02
   0.220265E+01   0.687937E-02
   0.224714E+01   0.654786E-02
   0.229254E+01   0.623197E-02
   0.233885E+01   0.593099E-02
   0.238610E+01   0.564423E-02
   0.243430E+01   0.537104E-02
   0.248348E+01   0.511078E-02
   0.253365E+01   0.486288E-02
   0.258483E+01   0.462675E-02
   0.263705E+01   0.440185E-02
