#           k/h    P           
   0.311064E-01   0.617935E+04
   0.317348E-01   0.604446E+04
   0.323759E-01   0.591047E+04
   0.330299E-01   0.577763E+04
   0.336972E-01   0.564613E+04
   0.343779E-01   0.551617E+04
   0.350724E-01   0.538796E+04
   0.357809E-01   0.526180E+04
   0.365038E-01   0.513809E+04
   0.372412E-01   0.501717E+04
   0.379935E-01   0.489937E+04
   0.387610E-01   0.478497E+04
   0.395440E-01   0.467425E+04
   0.403429E-01   0.456751E+04
   0.411579E-01   0.446498E+04
   0.419893E-01   0.436689E+04
   0.428375E-01   0.427344E+04
   0.437029E-01   0.418459E+04
   0.445858E-01   0.410021E+04
   0.454865E-01   0.402016E+04
   0.464053E-01   0.394433E+04
   0.473428E-01   0.387257E+04
   0.482992E-01   0.380471E+04
   0.492749E-01   0.374052E+04
   0.502703E-01   0.367981E+04
   0.512858E-01   0.362237E+04
   0.523219E-01   0.356801E+04
   0.533789E-01   0.351635E+04
   0.544572E-01   0.346687E+04
   0.555573E-01   0.341909E+04
   0.566796E-01   0.337255E+04
   0.578246E-01   0.332680E+04
   0.589927E-01   0.328130E+04
   0.601845E-01   0.323544E+04
   0.614003E-01   0.318863E+04
   0.626407E-01   0.314033E+04
   0.639061E-01   0.309003E+04
   0.651971E-01   0.303720E+04
   0.665142E-01   0.298130E+04
   0.678578E-01   0.292186E+04
   0.692287E-01   0.285846E+04
   0.706272E-01   0.279079E+04
   0.720539E-01   0.271897E+04
   0.735095E-01   0.264339E+04
   0.749945E-01   0.256446E+04
   0.765095E-01   0.248261E+04
   0.780551E-01   0.239829E+04
   0.796319E-01   0.231230E+04
   0.812406E-01   0.222561E+04
   0.828817E-01   0.213909E+04
   0.845561E-01   0.205352E+04
   0.862642E-01   0.196961E+04
   0.880068E-01   0.188824E+04
   0.897847E-01   0.181036E+04
   0.915985E-01   0.173678E+04
   0.934489E-01   0.166812E+04
   0.953367E-01   0.160490E+04
   0.972626E-01   0.154736E+04
   0.992274E-01   0.149558E+04
   0.101232E+00   0.144962E+04
   0.103277E+00   0.140953E+04
   0.105363E+00   0.137531E+04
   0.107492E+00   0.134621E+04
   0.109663E+00   0.132102E+04
   0.111879E+00   0.129863E+04
   0.114139E+00   0.127801E+04
   0.116445E+00   0.125820E+04
   0.118797E+00   0.123806E+04
   0.121197E+00   0.121638E+04
   0.123645E+00   0.119204E+04
   0.126143E+00   0.116403E+04
   0.128691E+00   0.113153E+04
   0.131291E+00   0.109475E+04
   0.133943E+00   0.105451E+04
   0.136649E+00   0.101164E+04
   0.139409E+00   0.966924E+03
   0.142226E+00   0.921129E+03
   0.145099E+00   0.875649E+03
   0.148030E+00   0.832115E+03
   0.151020E+00   0.791855E+03
   0.154071E+00   0.755935E+03
   0.157184E+00   0.725141E+03
   0.160359E+00   0.699232E+03
   0.163598E+00   0.677396E+03
   0.166903E+00   0.658929E+03
   0.170275E+00   0.643223E+03
   0.173715E+00   0.629703E+03
   0.177224E+00   0.617304E+03
   0.180804E+00   0.604666E+03
   0.184457E+00   0.590533E+03
   0.188183E+00   0.573777E+03
   0.191985E+00   0.553542E+03
   0.195863E+00   0.530468E+03
   0.199820E+00   0.506072E+03
   0.203856E+00   0.481691E+03
   0.207974E+00   0.458444E+03
   0.212176E+00   0.437207E+03
   0.216462E+00   0.418218E+03
   0.220835E+00   0.401342E+03
   0.225296E+00   0.386453E+03
   0.229847E+00   0.373445E+03
   0.234490E+00   0.362187E+03
   0.239227E+00   0.352107E+03
   0.244060E+00   0.342370E+03
   0.248990E+00   0.332227E+03
   0.254020E+00   0.321020E+03
   0.259152E+00   0.308257E+03
   0.264387E+00   0.294382E+03
   0.269728E+00   0.280354E+03
   0.275177E+00   0.266995E+03
   0.280736E+00   0.254977E+03
   0.286407E+00   0.244797E+03
   0.292193E+00   0.236209E+03
   0.298096E+00   0.228541E+03
   0.304118E+00   0.221202E+03
   0.310261E+00   0.213673E+03
   0.316529E+00   0.205540E+03
   0.322923E+00   0.196908E+03
   0.329447E+00   0.188186E+03
   0.336102E+00   0.179727E+03
   0.342892E+00   0.171828E+03
   0.349819E+00   0.164710E+03
   0.356885E+00   0.158307E+03
   0.364095E+00   0.152386E+03
   0.371450E+00   0.146741E+03
   0.378954E+00   0.141196E+03
   0.386609E+00   0.135611E+03
   0.394419E+00   0.129997E+03
   0.402387E+00   0.124456E+03
   0.410516E+00   0.119077E+03
   0.418809E+00   0.113933E+03
   0.427269E+00   0.109081E+03
   0.435901E+00   0.104515E+03
   0.444706E+00   0.100190E+03
   0.453690E+00   0.960697E+02
   0.462855E+00   0.921189E+02
   0.472206E+00   0.883097E+02
   0.481745E+00   0.846315E+02
   0.491477E+00   0.810838E+02
   0.501405E+00   0.776662E+02
   0.511534E+00   0.743774E+02
   0.521868E+00   0.712161E+02
   0.532411E+00   0.681792E+02
   0.543166E+00   0.652631E+02
   0.554139E+00   0.624639E+02
   0.565333E+00   0.597780E+02
   0.576753E+00   0.572017E+02
   0.588404E+00   0.547312E+02
   0.600291E+00   0.523623E+02
   0.612418E+00   0.500912E+02
   0.624789E+00   0.479142E+02
   0.637411E+00   0.458278E+02
   0.650288E+00   0.438282E+02
   0.663424E+00   0.419120E+02
   0.676826E+00   0.400759E+02
   0.690499E+00   0.383166E+02
   0.704448E+00   0.366309E+02
   0.718679E+00   0.350160E+02
   0.733197E+00   0.334691E+02
   0.748009E+00   0.319875E+02
   0.763119E+00   0.305685E+02
   0.778536E+00   0.292097E+02
   0.794263E+00   0.279086E+02
   0.810308E+00   0.266631E+02
   0.826677E+00   0.254709E+02
   0.843378E+00   0.243300E+02
   0.860415E+00   0.232382E+02
   0.877797E+00   0.221935E+02
   0.895529E+00   0.211941E+02
   0.913620E+00   0.202379E+02
   0.932076E+00   0.193232E+02
   0.950906E+00   0.184483E+02
   0.970115E+00   0.176115E+02
   0.989713E+00   0.168112E+02
   0.100971E+01   0.160459E+02
   0.103010E+01   0.153143E+02
   0.105091E+01   0.146149E+02
   0.107214E+01   0.139463E+02
   0.109380E+01   0.133073E+02
   0.111590E+01   0.126966E+02
   0.113844E+01   0.121130E+02
   0.116144E+01   0.115553E+02
   0.118490E+01   0.110225E+02
   0.120884E+01   0.105134E+02
   0.123326E+01   0.100271E+02
   0.125817E+01   0.956256E+01
   0.128359E+01   0.911887E+01
   0.130952E+01   0.869512E+01
   0.133597E+01   0.829046E+01
   0.136296E+01   0.790407E+01
   0.139049E+01   0.753516E+01
   0.141858E+01   0.718297E+01
   0.144724E+01   0.684677E+01
   0.147648E+01   0.652586E+01
   0.150630E+01   0.621957E+01
   0.153673E+01   0.592726E+01
   0.156778E+01   0.564832E+01
   0.159945E+01   0.538216E+01
   0.163176E+01   0.512820E+01
   0.166472E+01   0.488592E+01
   0.169835E+01   0.465479E+01
   0.173266E+01   0.443432E+01
   0.176766E+01   0.422403E+01
   0.180337E+01   0.402346E+01
   0.183980E+01   0.383217E+01
   0.187697E+01   0.364974E+01
   0.191489E+01   0.347576E+01
   0.195357E+01   0.330986E+01
   0.199304E+01   0.315169E+01
   0.203330E+01   0.300089E+01
   0.207437E+01   0.285715E+01
   0.211628E+01   0.272015E+01
   0.215903E+01   0.258958E+01
   0.220265E+01   0.246514E+01
   0.224714E+01   0.234655E+01
   0.229254E+01   0.223354E+01
   0.233885E+01   0.212585E+01
   0.238610E+01   0.202324E+01
   0.243430E+01   0.192547E+01
   0.248348E+01   0.183232E+01
   0.253365E+01   0.174359E+01
   0.258483E+01   0.165906E+01
   0.263705E+01   0.157854E+01
   0.269032E+01   0.150185E+01
   0.274466E+01   0.142881E+01
   0.280011E+01   0.135925E+01
   0.285668E+01   0.129302E+01
   0.291439E+01   0.122994E+01
   0.297326E+01   0.116989E+01
   0.303332E+01   0.111272E+01
   0.309460E+01   0.105829E+01
   0.315712E+01   0.100649E+01
   0.322090E+01   0.957171E+00
   0.328596E+01   0.910231E+00
   0.335234E+01   0.865551E+00
   0.342006E+01   0.823024E+00
   0.348916E+01   0.782545E+00
   0.355964E+01   0.744019E+00
   0.363155E+01   0.707354E+00
   0.370491E+01   0.672466E+00
   0.377976E+01   0.639269E+00
   0.385611E+01   0.607685E+00
   0.393401E+01   0.577637E+00
   0.401348E+01   0.549051E+00
   0.409456E+01   0.521857E+00
   0.417727E+01   0.495988E+00
   0.426166E+01   0.471379E+00
   0.434775E+01   0.447972E+00
   0.443558E+01   0.425708E+00
   0.452519E+01   0.404535E+00
   0.461660E+01   0.384400E+00
   0.470987E+01   0.365254E+00
   0.480501E+01   0.347048E+00
   0.490208E+01   0.329738E+00
   0.500111E+01   0.313277E+00
   0.510214E+01   0.297626E+00
   0.520521E+01   0.282743E+00
   0.531036E+01   0.268593E+00
   0.541763E+01   0.255140E+00
   0.552708E+01   0.242350E+00
   0.563873E+01   0.230191E+00
   0.575264E+01   0.218634E+00
   0.586885E+01   0.207649E+00
   0.598741E+01   0.197209E+00
   0.610836E+01   0.187288E+00
   0.623176E+01   0.177862E+00
   0.635765E+01   0.168905E+00
   0.648609E+01   0.160396E+00
   0.661711E+01   0.152311E+00
   0.675079E+01   0.144629E+00
   0.688716E+01   0.137330E+00
   0.702629E+01   0.130395E+00
   0.716823E+01   0.123805E+00
   0.731304E+01   0.117544E+00
   0.746077E+01   0.111594E+00
   0.761149E+01   0.105942E+00
   0.776525E+01   0.100572E+00
   0.792212E+01   0.954700E-01
   0.808217E+01   0.906235E-01
   0.824543E+01   0.860201E-01
   0.841200E+01   0.816479E-01
   0.858193E+01   0.774957E-01
   0.875530E+01   0.735525E-01
   0.893217E+01   0.698077E-01
   0.911261E+01   0.662513E-01
   0.929670E+01   0.628738E-01
   0.948451E+01   0.596661E-01
   0.967610E+01   0.566201E-01
   0.987158E+01   0.537282E-01
   0.100710E+02   0.509831E-01
   0.102744E+02   0.483777E-01
   0.104820E+02   0.459054E-01
   0.106938E+02   0.435592E-01
   0.109098E+02   0.413320E-01
   0.111302E+02   0.392175E-01
   0.113550E+02   0.372096E-01
   0.115844E+02   0.353024E-01
   0.118184E+02   0.334912E-01
   0.120572E+02   0.317716E-01
   0.123007E+02   0.301393E-01
   0.125492E+02   0.285904E-01
   0.128027E+02   0.271208E-01
   0.130614E+02   0.257266E-01
   0.133252E+02   0.244036E-01
   0.135944E+02   0.231482E-01
   0.138691E+02   0.219566E-01
   0.141492E+02   0.208255E-01
   0.144351E+02   0.197519E-01
   0.147267E+02   0.187331E-01
   0.150242E+02   0.177662E-01
   0.153277E+02   0.168489E-01
   0.156373E+02   0.159786E-01
   0.159532E+02   0.151530E-01
   0.162755E+02   0.143697E-01
   0.166043E+02   0.136265E-01
   0.169397E+02   0.129213E-01
   0.172819E+02   0.122522E-01
   0.176310E+02   0.116173E-01
   0.179872E+02   0.110152E-01
   0.183505E+02   0.104442E-01
   0.187212E+02   0.990291E-02
   0.190994E+02   0.938984E-02
   0.194853E+02   0.890347E-02
   0.198789E+02   0.844225E-02
   0.202805E+02   0.800473E-02
   0.206902E+02   0.758956E-02
   0.211081E+02   0.719550E-02
   0.215346E+02   0.682149E-02
   0.219696E+02   0.646659E-02
   0.224134E+02   0.612993E-02
   0.228662E+02   0.581063E-02
   0.233281E+02   0.550787E-02
   0.237994E+02   0.522083E-02
   0.242802E+02   0.494871E-02
   0.247707E+02   0.469074E-02
   0.252710E+02   0.444620E-02
   0.257816E+02   0.421440E-02
   0.263024E+02   0.399466E-02
   0.268337E+02   0.378634E-02
   0.273758E+02   0.358881E-02
   0.279288E+02   0.340150E-02
   0.284930E+02   0.322386E-02
   0.290686E+02   0.305540E-02
   0.296558E+02   0.289564E-02
   0.302549E+02   0.274413E-02
   0.308661E+02   0.260047E-02
   0.314897E+02   0.246425E-02
   0.321258E+02   0.233511E-02
   0.327748E+02   0.221273E-02
   0.334369E+02   0.209679E-02
   0.341123E+02   0.198700E-02
   0.348014E+02   0.188304E-02
   0.355045E+02   0.178460E-02
   0.362217E+02   0.169132E-02
   0.369535E+02   0.160288E-02
   0.377000E+02   0.151898E-02
   0.384616E+02   0.143937E-02
   0.392386E+02   0.136382E-02
   0.400312E+02   0.129215E-02
   0.408399E+02   0.122420E-02
   0.416649E+02   0.115978E-02
   0.425066E+02   0.109875E-02
   0.433653E+02   0.104093E-02
   0.442413E+02   0.986149E-03
   0.451350E+02   0.934258E-03
   0.460469E+02   0.885104E-03
   0.469770E+02   0.838542E-03
   0.479261E+02   0.794433E-03
   0.488942E+02   0.752638E-03
   0.498820E+02   0.713028E-03
   0.508896E+02   0.675483E-03
   0.519177E+02   0.639890E-03
   0.529665E+02   0.606149E-03
   0.540365E+02   0.574170E-03
   0.551281E+02   0.543866E-03
   0.562417E+02   0.515155E-03
   0.573779E+02   0.487957E-03
   0.585370E+02   0.462192E-03
   0.597195E+02   0.437779E-03
   0.609260E+02   0.414643E-03
   0.621568E+02   0.392714E-03
   0.634124E+02   0.371926E-03
   0.646934E+02   0.352227E-03
   0.660003E+02   0.333572E-03
   0.673336E+02   0.315917E-03
   0.686938E+02   0.299219E-03
   0.700816E+02   0.283433E-03
   0.714973E+02   0.268503E-03
   0.729416E+02   0.254367E-03
   0.744151E+02   0.240970E-03
   0.759184E+02   0.228261E-03
   0.774521E+02   0.216195E-03
   0.790167E+02   0.204739E-03
   0.806129E+02   0.193870E-03
   0.822415E+02   0.183566E-03
   0.839028E+02   0.173804E-03
   0.855978E+02   0.164559E-03
   0.873269E+02   0.155809E-03
   0.890911E+02   0.147525E-03
   0.908908E+02   0.139683E-03
   0.927270E+02   0.132261E-03
   0.946001E+02   0.125235E-03
   0.965112E+02   0.118584E-03
   0.984608E+02   0.112286E-03
   0.100450E+03   0.106320E-03
   0.102479E+03   0.100668E-03
   0.104549E+03   0.953116E-04
   0.106661E+03   0.902355E-04
   0.108816E+03   0.854245E-04
   0.111014E+03   0.808647E-04
   0.113257E+03   0.765427E-04
   0.115545E+03   0.724464E-04
   0.117879E+03   0.685662E-04
   0.120260E+03   0.648944E-04
   0.122690E+03   0.614232E-04
   0.125168E+03   0.581447E-04
   0.127697E+03   0.550503E-04
   0.130277E+03   0.521278E-04
   0.132908E+03   0.493629E-04
   0.135593E+03   0.467430E-04
   0.138332E+03   0.442566E-04
   0.141127E+03   0.418938E-04
   0.143978E+03   0.396486E-04
   0.146886E+03   0.375172E-04
   0.149854E+03   0.354958E-04
   0.152881E+03   0.335804E-04
   0.155969E+03   0.317670E-04
   0.159120E+03   0.300512E-04
   0.162334E+03   0.284280E-04
   0.165614E+03   0.268931E-04
   0.168960E+03   0.254421E-04
   0.172373E+03   0.240705E-04
   0.175855E+03   0.227736E-04
   0.179407E+03   0.215463E-04
   0.183032E+03   0.203839E-04
   0.186729E+03   0.192821E-04
   0.190501E+03   0.182371E-04
   0.194350E+03   0.172462E-04
   0.198276E+03   0.163072E-04
   0.202281E+03   0.154182E-04
   0.206368E+03   0.145769E-04
   0.210536E+03   0.137814E-04
   0.214790E+03   0.130290E-04
   0.219129E+03   0.123170E-04
   0.223555E+03   0.116426E-04
   0.228071E+03   0.110036E-04
   0.232679E+03   0.103979E-04
   0.237379E+03   0.982429E-05
   0.242175E+03   0.928213E-05
   0.247067E+03   0.877066E-05
   0.252058E+03   0.828901E-05
   0.257150E+03   0.783609E-05
   0.262345E+03   0.740967E-05
   0.267644E+03   0.700693E-05
   0.273051E+03   0.662541E-05
   0.278567E+03   0.626298E-05
   0.284195E+03   0.591784E-05
   0.289936E+03   0.558935E-05
   0.295793E+03   0.527745E-05
   0.301768E+03   0.498200E-05
   0.307864E+03   0.470272E-05
   0.314084E+03   0.443925E-05
   0.320428E+03   0.419077E-05
   0.326902E+03   0.395625E-05
   0.333505E+03   0.373475E-05
   0.340243E+03   0.352541E-05
   0.347116E+03   0.332743E-05
   0.354128E+03   0.314020E-05
   0.361282E+03   0.296318E-05
   0.368581E+03   0.279588E-05
   0.376026E+03   0.263780E-05
   0.383623E+03   0.248850E-05
   0.391372E+03   0.234749E-05
   0.399279E+03   0.221433E-05
