 103514.2      99.13821      87.91535      108.2767     -2.996412      5.388500      35.34926      5.388500      104.0987      87.91535      57.17859      92.23764    
 111557.7      96.54778      85.61665      105.4466     -2.996233      5.388253      34.43149      5.388253      101.3786      85.61665      55.68484      89.82481    
 120226.4      94.12965      83.47076      102.8046     -2.996042      5.387993      33.57520      5.387993      98.83946      83.47076      54.29049      87.57233    
 129568.7      91.85005      81.44771      100.3139     -2.995840      5.387721      32.76828      5.387721      96.44574      81.44771      52.97602      85.44870    
 139636.8      89.68095      79.52264      97.94392     -2.995613      5.387435      32.00078      5.387435      94.16804      79.52264      51.72528      83.42786    
 150487.3      87.47399      77.56399      95.53258     -2.995399      5.387133      31.21981      5.387133      91.85061      77.56399      50.45271      81.37181    
 162181.0      85.12093      75.47580      92.96172     -2.995172      5.386817      30.38667      5.386817      89.37975      75.47580      49.09587      79.17986    
 174783.2      82.81585      73.43016      90.44323     -2.994946      5.386484      29.57062      5.386484      86.95928      73.43016      47.76671      77.03255    
 188364.8      81.00151      71.81965      88.46068     -2.994672      5.386134      28.92979      5.386134      85.05411      71.81965      46.72059      75.34171    
 203001.8      79.15942      70.18452      86.44782     -2.994374      5.385766      28.27912      5.385766      83.11979      70.18452      45.65848      73.62505    
 218776.2      77.07811      68.33730      84.17370     -2.994099      5.385380      27.54297      5.385380      80.93428      68.33730      44.45838      71.68587    
 235776.2      75.20682      66.67628      82.12895     -2.993801      5.384974      26.88185      5.384974      78.96931      66.67628      43.37942      69.94205    
 254097.1      73.39215      65.06545      80.14602     -2.993479      5.384547      26.24096      5.384547      77.06379      65.06545      42.33311      68.25088    
 273842.0      71.48484      63.37251      78.06196     -2.993158      5.384099      25.56697      5.384099      75.06099      63.37251      41.23337      66.47356    
 295120.8      69.66483      61.75695      76.07320     -2.992824      5.383629      24.92416      5.383629      73.14985      61.75695      40.18399      64.77744    
 318053.1      67.91576      60.20429      74.16190     -2.992454      5.383133      24.30673      5.383133      71.31322      60.20429      39.17553      63.14728    
 342767.7      66.36144      58.82426      72.46329     -2.992049      5.382613      23.75902      5.382613      69.68107      58.82426      38.27940      61.69819    
 369402.8      64.65534      57.30970      70.59892     -2.991644      5.382066      23.15696      5.382066      67.88954      57.30970      37.29572      60.10799    
 398107.1      63.01864      55.85665      68.81034     -2.991226      5.381493      22.57973      5.381493      66.17089      55.85665      36.35207      58.58232    
